experiment_name,model_name,method,data_fraction,seed,f1_macro,accuracy,f1_negative,f1_neutral,f1_positive,trainable_params,peak_vram_gb,train_time_s,inference_latency_ms,fallback_rate,notes
lora_qwen1.7b_n500_s44,Qwen/Qwen3-1.7B,lora,500,44,0.682304418672795,0.6781609195402298,0.7416520210896309,0.5993788819875776,0.7058823529411765,6422528.0,8.507673088,92.1905,51.58210875825924,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=500, seed=44. r=16, lr=0.0002, max_steps=315 (min_steps=80). best_val_F1=0.6648@step156. loss 0.6566835061097757->0.011629420213210277. n_train=500, n_test=870."
lora_qwen4b_n250_s42,Qwen/Qwen3-4B,lora,250,42,0.6971528258065657,0.6931034482758621,0.7299270072992701,0.6319018404907976,0.7296296296296296,11796480.0,16.749821952,111.3224,69.33225853074538,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=250, seed=42. r=16, lr=0.0002, max_steps=160 (min_steps=80). best_val_F1=0.7008@step80. loss 0.6751530170440674->0.006162358075380325. n_train=250, n_test=870."
lora_qwen1.7b_n1000_s42,Qwen/Qwen3-1.7B,lora,1000,42,0.6876878831835889,0.6862068965517242,0.7457044673539519,0.6095551894563427,0.7078039927404719,6422528.0,8.722658304,121.0656,57.02320557381762,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=1000, seed=42. r=16, lr=0.0002, max_steps=625 (min_steps=80). best_val_F1=0.7031@step624. loss 0.5801205757336739->0.013322966221051339. n_train=1000, n_test=870."
lora_qwen4b_n250_s43,Qwen/Qwen3-4B,lora,250,43,0.7007587081760831,0.6988505747126437,0.7574171029668412,0.6059602649006622,0.738898756660746,11796480.0,16.496899584,99.8168,65.67848174783744,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=250, seed=43. r=16, lr=0.0002, max_steps=160 (min_steps=80). best_val_F1=0.6953@step160. loss 0.697877836227417->0.018871237337589265. n_train=250, n_test=870."
lora_qwen1.7b_n1000_s43,Qwen/Qwen3-1.7B,lora,1000,43,0.6885381573976096,0.6885057471264368,0.7487684729064039,0.5773195876288659,0.7395264116575592,6422528.0,8.723477504,116.7192,50.65016828379349,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=1000, seed=43. r=16, lr=0.0002, max_steps=625 (min_steps=80). best_val_F1=0.6871@step468. loss 0.6160354614257812->0.018123345497326974. n_train=1000, n_test=870."
lora_qwen4b_n250_s44,Qwen/Qwen3-4B,lora,250,44,0.6970633695877634,0.6988505747126437,0.7317939609236235,0.5946902654867257,0.7647058823529411,11796480.0,16.758464512,103.0008,70.26555886688202,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=250, seed=44. r=16, lr=0.0002, max_steps=160 (min_steps=80). best_val_F1=0.6888@step120. loss 0.7860324859619141->0.0203012615442276. n_train=250, n_test=870."
lora_qwen1.7b_n1000_s44,Qwen/Qwen3-1.7B,lora,1000,44,0.6795932817638262,0.6804597701149425,0.7512038523274478,0.5640138408304498,0.7235621521335807,6422528.0,8.530801152,124.1904,58.21580482287365,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=1000, seed=44. r=16, lr=0.0002, max_steps=625 (min_steps=80). best_val_F1=0.7035@step312. loss 0.5960544194930639->0.012271241499827458. n_train=1000, n_test=870."
lora_qwen4b_n500_s42,Qwen/Qwen3-4B,lora,500,42,0.6777954510370184,0.6862068965517242,0.7507788161993769,0.5291828793774319,0.7534246575342466,11796480.0,16.711892992,118.2619,66.38324817054365,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=500, seed=42. r=16, lr=0.0002, max_steps=315 (min_steps=80). best_val_F1=0.7164@step78. loss 0.5788962535369091->0.006171828661209498. n_train=500, n_test=870."
lora_qwen1.7b_nfull_s42,Qwen/Qwen3-1.7B,lora,full,42,0.6922061633056852,0.6862068965517242,0.7218934911242604,0.6353276353276354,0.71939736346516,6422528.0,8.723313664,169.7481,54.10052727287015,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=1150 (min_steps=80). best_val_F1=0.7024@step287. loss 0.5274711369637413->0.020149493466686288. n_train=1839, n_test=870."
lora_qwen4b_n500_s43,Qwen/Qwen3-4B,lora,500,43,0.6951764147825035,0.6908045977011494,0.7379679144385026,0.6182380216383307,0.7293233082706767,11796480.0,16.746995712,123.5414,68.74135820391147,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=500, seed=43. r=16, lr=0.0002, max_steps=315 (min_steps=80). best_val_F1=0.7202@step315. loss 0.5372026883638822->0.00034174471138379513. n_train=500, n_test=870."
