experiment_name,model_name,method,data_fraction,seed,f1_macro,accuracy,f1_negative,f1_neutral,f1_positive,trainable_params,peak_vram_gb,train_time_s,inference_latency_ms,fallback_rate,notes
cutc_qwen4b_cr2cr_s42,Qwen/Qwen3-4B,lora,full,42,0.6876426540744189,0.756198347107438,0.8490566037735849,0.40963855421686746,0.8042328042328042,11796480,16.299513344,66.678,69.43761853076387,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7896@step340. loss 0.45955657958984375->0.0056220903116114. n_train=539, n_test=242. train_dir=tass_cr, eval_dir=tass_cr."
cutc_qwen1.7b_pe2es_s42,Qwen/Qwen3-1.7B,lora,full,42,0.6062941597302716,0.6351351351351351,0.7493540051679587,0.3504273504273504,0.7191011235955056,6422528,8.568710144,50.555,54.048799182566114,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7862@step255. loss 0.5717493842629825->0.021693612547481762. n_train=541, n_test=444. train_dir=tass_pe, eval_dir=tass_es."
cutc_qwen4b_cr2pe_s42,Qwen/Qwen3-4B,lora,full,42,0.6965426017150156,0.7404580152671756,0.8078817733990148,0.47619047619047616,0.8055555555555556,11796480,16.299513344,66.1809,64.5480388612078,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7896@step340. loss 0.45955657958984375->0.0056220903116114. n_train=539, n_test=262. train_dir=tass_cr, eval_dir=tass_pe."
cutc_qwen1.7b_pe2cr_s42,Qwen/Qwen3-1.7B,lora,full,42,0.6817805383022774,0.7024793388429752,0.8,0.5,0.7453416149068323,6422528,8.568710144,47.9196,52.16587197623755,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7862@step255. loss 0.5717493842629825->0.021693612547481762. n_train=541, n_test=242. train_dir=tass_pe, eval_dir=tass_cr."
cutc_qwen1.7b_pe2pe_s42,Qwen/Qwen3-1.7B,lora,full,42,0.661204924074042,0.6755725190839694,0.696969696969697,0.4689655172413793,0.8176795580110497,6422528,8.568710144,47.5707,50.557436887174845,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7862@step255. loss 0.5717493842629825->0.021693612547481762. n_train=541, n_test=262. train_dir=tass_pe, eval_dir=tass_pe."
cutc_qwen4b_pe2es_s42,Qwen/Qwen3-4B,lora,full,42,0.6610725308641975,0.6914414414414415,0.765625,0.42592592592592593,0.7916666666666666,11796480,16.553508864,62.0467,65.13467069976686,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.6948@step255. loss 0.5931015912224264->0.0071842495132895074. n_train=541, n_test=444. train_dir=tass_pe, eval_dir=tass_es."
cutc_qwen1.7b_es2es_s43,Qwen/Qwen3-1.7B,lora,full,43,0.6536261769936609,0.740990990990991,0.8251121076233184,0.3357664233576642,0.8,6422528,8.530801152,66.6641,52.043276062856116,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=43. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.6689@step116. loss 0.5931473436026737->0.03111077382646758. n_train=738, n_test=444. train_dir=tass_es, eval_dir=tass_es."
cutc_qwen4b_pe2cr_s42,Qwen/Qwen3-4B,lora,full,42,0.7027883498615206,0.743801652892562,0.8390243902439024,0.4807692307692308,0.7885714285714286,11796480,16.553508864,62.7561,66.09735990825452,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.6948@step255. loss 0.5931015912224264->0.0071842495132895074. n_train=541, n_test=242. train_dir=tass_pe, eval_dir=tass_cr."
cutc_qwen4b_pe2pe_s42,Qwen/Qwen3-4B,lora,full,42,0.7105955387205386,0.7366412213740458,0.7777777777777778,0.515625,0.8383838383838383,11796480,16.553508864,61.9409,64.46180946046584,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.6948@step255. loss 0.5931015912224264->0.0071842495132895074. n_train=541, n_test=262. train_dir=tass_pe, eval_dir=tass_pe."
cutc_qwen1.7b_es2cr_s43,Qwen/Qwen3-1.7B,lora,full,43,0.6860966816100952,0.7644628099173554,0.8340425531914893,0.4307692307692308,0.7934782608695652,6422528,8.530801152,65.6675,51.88928573114569,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=43. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.6689@step116. loss 0.5931473436026737->0.03111077382646758. n_train=738, n_test=242. train_dir=tass_es, eval_dir=tass_cr."
cutc_qwen1.7b_es2pe_s43,Qwen/Qwen3-1.7B,lora,full,43,0.6189294805377541,0.6984732824427481,0.7652173913043478,0.29545454545454547,0.7961165048543689,6422528,8.530801152,67.0443,52.02085021556469,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=43. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.6689@step116. loss 0.5931473436026737->0.03111077382646758. n_train=738, n_test=262. train_dir=tass_es, eval_dir=tass_pe."
cutc_qwen4b_es2es_s43,Qwen/Qwen3-4B,lora,full,43,0.681853643531197,0.7567567567567568,0.8423423423423423,0.3841059602649007,0.8191126279863481,11796480,16.51629824,83.9789,64.50372139449443,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=43. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.7255@step232. loss 0.4966470455301219->0.016465700905898523. n_train=738, n_test=444. train_dir=tass_es, eval_dir=tass_es."
cutc_qwen1.7b_cr2es_s43,Qwen/Qwen3-1.7B,lora,full,43,0.6057478033948622,0.6621621621621622,0.76,0.31868131868131866,0.738562091503268,6422528,8.507525632,47.3478,52.55494498762123,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=43. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7248@step255. loss 0.6755663254681755->0.00623485621284036. n_train=539, n_test=444. train_dir=tass_cr, eval_dir=tass_es."
cutc_qwen1.7b_cr2cr_s43,Qwen/Qwen3-1.7B,lora,full,43,0.6771747363252891,0.7355371900826446,0.8446601941747572,0.40425531914893614,0.782608695652174,6422528,8.507525632,48.2517,50.281595128277935,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=43. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7248@step255. loss 0.6755663254681755->0.00623485621284036. n_train=539, n_test=242. train_dir=tass_cr, eval_dir=tass_cr."
cutc_qwen4b_es2cr_s43,Qwen/Qwen3-4B,lora,full,43,0.6416492471431104,0.731404958677686,0.8305084745762712,0.32432432432432434,0.7701149425287356,11796480,16.51629824,89.4156,70.41336101757591,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=43. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.7255@step232. loss 0.4966470455301219->0.016465700905898523. n_train=738, n_test=242. train_dir=tass_es, eval_dir=tass_cr."
cutc_qwen1.7b_cr2pe_s43,Qwen/Qwen3-1.7B,lora,full,43,0.643625650484617,0.6793893129770993,0.7437185929648241,0.42016806722689076,0.7669902912621359,6422528,8.507525632,47.6961,50.021607518653596,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=43. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7248@step255. loss 0.6755663254681755->0.00623485621284036. n_train=539, n_test=262. train_dir=tass_cr, eval_dir=tass_pe."
